dff,demixed,raw,neuropil_corrected,events,plane,col,volume,roi
[3.4674659  2.0050712  1.8762984  ... 0.41443694 1.9268619  2.1283712 ],[819.59717 638.8744  666.2802  ... 419.54752 594.3783  616.9741 ],[869.56067 695.9163  728.1297  ... 459.87448 653.25104 668.13806],[629.8446  458.42944 441.69965 ... 248.51881 444.70197 459.2223 ],[0.        0.        0.        ... 0.        0.1976123 0.       ],0,2,5,32
[0.48903435 0.3180194  0.61081296 ... 0.04296471 0.538084   0.43883377],[426.86768 419.38385 488.0334  ... 339.53787 381.62497 347.59412],[442.19022 435.27716 525.13043 ... 353.03262 408.58694 381.57608],[249.46774 238.87204 282.1699  ... 183.21146 246.11523 216.71552],[0.         0.         0.05218441 ... 0.         0.04488526 0.        ],0,2,5,33
[0.80803037 1.1885867  1.0166798  ... 0.30361813 0.66276246 0.35336092],[513.4069  571.11035 600.2     ... 407.74484 426.6414  372.5931 ],[513.4069  571.11035 600.2     ... 407.74484 426.6414  372.5931 ],[295.43048 362.0959  354.91547 ... 239.16997 266.3246  204.61847],[0.         0.         0.13649067 ... 0.037856   0.         0.        ],0,2,5,34
"[ 0.6696405   0.5250532   0.8855045  ...  0.18607864 -0.06214078
  0.50803226]",[373.75342 347.6588  396.2482  ... 323.73746 300.94366 361.34256],[414.88126 387.21875 459.8125  ... 370.0375  333.7375  385.10626],[266.21762 254.74963 310.17462 ... 242.15193 199.98595 260.34488],[0.         0.         0.08896034 ... 0.         0.07981948 0.        ],0,2,5,35
"[ 1.6031779   1.7677857   1.7141001  ... -0.1830279   0.78409135
  0.7574241 ]",[562.2903  584.9167  618.6983  ... 345.97537 459.6296  461.21622],[563.4234  586.44147 619.6667  ... 351.62613 465.43695 462.11713],[343.6276  386.08743 389.91803 ... 174.45331 286.47324 275.21832],[0.06684909 0.         0.09109684 ... 0.         0.11369093 0.        ],0,2,5,36
[0.60227287 0.23742998 0.680592   ... 0.07035618 0.15414709 0.28408343],[479.8794  424.35022 533.66956 ... 397.76892 410.34787 409.44235],[484.8468  431.84256 540.73615 ... 403.73618 415.9532  417.31915],[296.4961  248.9552  330.24802 ... 236.4984  242.87886 255.21295],[0.         0.         0.10095683 ... 0.         0.         0.        ],0,2,5,37
[2.111351   1.3827511  1.0850203  ... 0.32003456 0.49906507 0.38549027],[538.4049  508.24878 498.49756 ... 367.24878 380.10245 366.14145],[538.4049  508.24878 498.49756 ... 367.24878 380.10245 366.14145],[306.96606 275.78693 251.11067 ... 178.83795 174.93805 155.69661],[0.         0.         0.         ... 0.05973418 0.         0.        ],0,2,5,38
[0.282155   0.54896116 0.27396122 ... 0.19089846 0.11365946 0.5890284 ],[377.09326 422.3368  421.8342  ... 354.93784 330.74612 354.84973],[377.09326 422.3368  421.8342  ... 354.93784 330.74612 354.84973],[206.09337 246.63745 216.50734 ... 203.45665 187.51428 212.81808],[0.         0.         0.         ... 0.         0.04380282 0.        ],0,2,5,39
[1.3541867 1.4708866 1.3634183 ... 0.        0.2686272 1.1273226],[295.06577 318.1856  328.50372 ... 299.07965 294.357   345.7573 ],[375.61365 392.91818 415.1409  ... 361.45    367.42273 412.62726],[169.80516 186.37631 182.94641 ... 149.82141 160.1911  223.63889],[0.         0.         0.         ... 0.         0.15352122 0.        ],0,2,5,40
[0.41291353 0.4608614  0.3363168  ... 0.07973301 0.320885   0.58354086],[335.12943 345.96024 339.27856 ... 298.93082 330.42603 358.22244],[346.65067 357.50656 355.00873 ... 316.54147 342.05676 369.40173],[169.66632 187.65868 175.29659 ... 157.03917 184.35046 212.68384],[0.         0.         0.03201822 ... 0.         0.06811927 0.        ],0,2,5,41
